Rating,Description,AgeGroup
RP,Rating pending. ESRB has not assigned a rating to this game.,NA
EC,Games are aimed towards an early childhood or preschool audience. ,6>
E,Suitable for all ages.,All
E10+,"Suitable for those aged 10 years and older, contains fantasy violence and mild language.",10=<
T,Suitable for those aged 13 years and older; contains moderate violence and suggestive themes.,13=<
M17+,"Suitable for those aged 17 years and older, contains intense violence and strong sexual themes.",17=<
AO18+,Only suitable for those aged 18 years and older; contains graphic sexual content and extreme violence.,18=<
